date,context_id,concept_id,intent,extent,intent_size,extent_size,n_objects,n_attributes
2020-01-08,K_004,5,RUL_BIN=Medium | alloy_speed_meter_minute_BIN=Medium | alloy_type=open | cast_in_row_BIN=Low | crystallizer_movementmm_BIN=Low | num_crystallizer_BIN=High | num_crystallizer_BIN=Medium | num_stream_BIN=High | num_stream_BIN=Low | num_stream_BIN=Medium | resistance_tonn_BIN=Low | steel_temperature_grab1Celsius_BIN=High | steel_type=Arm500 | steel_weighttonn_BIN=High | swing_frequency_amount_minute_BIN=High | temperature_measurement1_Celsius_BIN=Low | temperature_measurement2_Celsius_BIN=Low | water_consumption_BIN=High | water_temperature_deltaCelsius_BIN=High | workpiece_slice_geometry=180x180,,20,0,6,20
2020-01-09,K_005,0,RUL_BIN=Low | alloy_speed_meter_minute_BIN=Medium | alloy_type=open | cast_in_row_BIN=Low | crystallizer_movementmm_BIN=Low | resistance_tonn_BIN=Low | steel_temperature_grab1Celsius_BIN=High | steel_type=Arm500 | steel_weighttonn_BIN=High | swing_frequency_amount_minute_BIN=High | temperature_measurement1_Celsius_BIN=Low | temperature_measurement2_Celsius_BIN=Low | water_consumption_BIN=High | water_temperature_deltaCelsius_BIN=High | workpiece_slice_geometry=180x180,30013863 | 30013864 | 30013865 | 30013866 | 30013868 | 30013870,15,6,6,20
2020-01-09,K_005,1,RUL_BIN=Low | alloy_speed_meter_minute_BIN=Medium | alloy_type=open | cast_in_row_BIN=Low | crystallizer_movementmm_BIN=Low | num_crystallizer_BIN=Medium | resistance_tonn_BIN=Low | steel_temperature_grab1Celsius_BIN=High | steel_type=Arm500 | steel_weighttonn_BIN=High | swing_frequency_amount_minute_BIN=High | temperature_measurement1_Celsius_BIN=Low | temperature_measurement2_Celsius_BIN=Low | water_consumption_BIN=High | water_temperature_deltaCelsius_BIN=High | workpiece_slice_geometry=180x180,30013863 | 30013864 | 30013865 | 30013868,16,4,6,20
2020-01-09,K_005,2,RUL_BIN=Low | alloy_speed_meter_minute_BIN=Medium | alloy_type=open | cast_in_row_BIN=Low | crystallizer_movementmm_BIN=Low | num_crystallizer_BIN=Medium | num_stream_BIN=Medium | resistance_tonn_BIN=Low | steel_temperature_grab1Celsius_BIN=High | steel_type=Arm500 | steel_weighttonn_BIN=High | swing_frequency_amount_minute_BIN=High | temperature_measurement1_Celsius_BIN=Low | temperature_measurement2_Celsius_BIN=Low | water_consumption_BIN=High | water_temperature_deltaCelsius_BIN=High | workpiece_slice_geometry=180x180,30013863 | 30013864,17,2,6,20
2020-01-09,K_005,3,RUL_BIN=Low | alloy_speed_meter_minute_BIN=Medium | alloy_type=open | cast_in_row_BIN=Low | crystallizer_movementmm_BIN=Low | num_crystallizer_BIN=Medium | num_stream_BIN=Low | resistance_tonn_BIN=Low | steel_temperature_grab1Celsius_BIN=High | steel_type=Arm500 | steel_weighttonn_BIN=High | swing_frequency_amount_minute_BIN=High | temperature_measurement1_Celsius_BIN=Low | temperature_measurement2_Celsius_BIN=Low | water_consumption_BIN=High | water_temperature_deltaCelsius_BIN=High | workpiece_slice_geometry=180x180,30013865 | 30013868,17,2,6,20
2020-01-09,K_005,4,RUL_BIN=Low | alloy_speed_meter_minute_BIN=Medium | alloy_type=open | cast_in_row_BIN=Low | crystallizer_movementmm_BIN=Low | num_crystallizer_BIN=High | num_stream_BIN=High | resistance_tonn_BIN=Low | steel_temperature_grab1Celsius_BIN=High | steel_type=Arm500 | steel_weighttonn_BIN=High | swing_frequency_amount_minute_BIN=High | temperature_measurement1_Celsius_BIN=Low | temperature_measurement2_Celsius_BIN=Low | water_consumption_BIN=High | water_temperature_deltaCelsius_BIN=High | workpiece_slice_geometry=180x180,30013866 | 30013870,17,2,6,20
2020-01-09,K_005,5,RUL_BIN=Low | alloy_speed_meter_minute_BIN=Medium | alloy_type=open | cast_in_row_BIN=Low | crystallizer_movementmm_BIN=Low | num_crystallizer_BIN=High | num_crystallizer_BIN=Medium | num_stream_BIN=High | num_stream_BIN=Low | num_stream_BIN=Medium | resistance_tonn_BIN=Low | steel_temperature_grab1Celsius_BIN=High | steel_type=Arm500 | steel_weighttonn_BIN=High | swing_frequency_amount_minute_BIN=High | temperature_measurement1_Celsius_BIN=Low | temperature_measurement2_Celsius_BIN=Low | water_consumption_BIN=High | water_temperature_deltaCelsius_BIN=High | workpiece_slice_geometry=180x180,,20,0,6,20
2020-01-10,K_006,0,RUL_BIN=Critical | alloy_speed_meter_minute_BIN=Medium | alloy_type=open | cast_in_row_BIN=Medium | crystallizer_movementmm_BIN=Low | resistance_tonn_BIN=Low | steel_temperature_grab1Celsius_BIN=High | steel_type=Arm500 | swing_frequency_amount_minute_BIN=High | temperature_measurement1_Celsius_BIN=Low | temperature_measurement2_Celsius_BIN=Low | water_consumption_BIN=High | water_temperature_deltaCelsius_BIN=High | workpiece_slice_geometry=180x180,30013356 | 30013358 | 30013863 | 30013864 | 30013865 | 30013866 | 30013868 | 30013870,14,8,8,21
2020-01-10,K_006,1,RUL_BIN=Critical | alloy_speed_meter_minute_BIN=Medium | alloy_type=open | cast_in_row_BIN=Medium | crystallizer_movementmm_BIN=Low | num_crystallizer_BIN=Medium | resistance_tonn_BIN=Low | steel_temperature_grab1Celsius_BIN=High | steel_type=Arm500 | swing_frequency_amount_minute_BIN=High | temperature_measurement1_Celsius_BIN=Low | temperature_measurement2_Celsius_BIN=Low | water_consumption_BIN=High | water_temperature_deltaCelsius_BIN=High | workpiece_slice_geometry=180x180,30013356 | 30013358 | 30013863 | 30013864 | 30013865 | 30013868,15,6,8,21
2020-01-10,K_006,2,RUL_BIN=Critical | alloy_speed_meter_minute_BIN=Medium | alloy_type=open | cast_in_row_BIN=Medium | crystallizer_movementmm_BIN=Low | num_crystallizer_BIN=Medium | num_stream_BIN=Medium | resistance_tonn_BIN=Low | steel_temperature_grab1Celsius_BIN=High | steel_type=Arm500 | swing_frequency_amount_minute_BIN=High | temperature_measurement1_Celsius_BIN=Low | temperature_measurement2_Celsius_BIN=Low | water_consumption_BIN=High | water_temperature_deltaCelsius_BIN=High | workpiece_slice_geometry=180x180,30013863 | 30013864,16,2,8,21
2020-01-10,K_006,3,RUL_BIN=Critical | alloy_speed_meter_minute_BIN=Medium | alloy_type=open | cast_in_row_BIN=Medium | crystallizer_movementmm_BIN=Low | resistance_tonn_BIN=Low | steel_temperature_grab1Celsius_BIN=High | steel_type=Arm500 | steel_weighttonn_BIN=Medium | swing_frequency_amount_minute_BIN=High | temperature_measurement1_Celsius_BIN=Low | temperature_measurement2_Celsius_BIN=Low | water_consumption_BIN=High | water_temperature_deltaCelsius_BIN=High | workpiece_slice_geometry=180x180,30013356 | 30013358 | 30013863 | 30013865 | 30013866 | 30013868 | 30013870,15,7,8,21
2020-01-10,K_006,4,RUL_BIN=Critical | alloy_speed_meter_minute_BIN=Medium | alloy_type=open | cast_in_row_BIN=Medium | crystallizer_movementmm_BIN=Low | num_stream_BIN=High | resistance_tonn_BIN=Low | steel_temperature_grab1Celsius_BIN=High | steel_type=Arm500 | steel_weighttonn_BIN=Medium | swing_frequency_amount_minute_BIN=High | temperature_measurement1_Celsius_BIN=Low | temperature_measurement2_Celsius_BIN=Low | water_consumption_BIN=High | water_temperature_deltaCelsius_BIN=High | workpiece_slice_geometry=180x180,30013356 | 30013358 | 30013866 | 30013870,16,4,8,21
2020-01-10,K_006,5,RUL_BIN=Critical | alloy_speed_meter_minute_BIN=Medium | alloy_type=open | cast_in_row_BIN=Medium | crystallizer_movementmm_BIN=Low | num_crystallizer_BIN=Medium | resistance_tonn_BIN=Low | steel_temperature_grab1Celsius_BIN=High | steel_type=Arm500 | steel_weighttonn_BIN=Medium | swing_frequency_amount_minute_BIN=High | temperature_measurement1_Celsius_BIN=Low | temperature_measurement2_Celsius_BIN=Low | water_consumption_BIN=High | water_temperature_deltaCelsius_BIN=High | workpiece_slice_geometry=180x180,30013356 | 30013358 | 30013863 | 30013865 | 30013868,16,5,8,21
2020-01-10,K_006,6,RUL_BIN=Critical | alloy_speed_meter_minute_BIN=Medium | alloy_type=open | cast_in_row_BIN=Medium | crystallizer_movementmm_BIN=Low | num_crystallizer_BIN=Medium | num_stream_BIN=Medium | resistance_tonn_BIN=Low | steel_temperature_grab1Celsius_BIN=High | steel_type=Arm500 | steel_weighttonn_BIN=Medium | swing_frequency_amount_minute_BIN=High | temperature_measurement1_Celsius_BIN=Low | temperature_measurement2_Celsius_BIN=Low | water_consumption_BIN=High | water_temperature_deltaCelsius_BIN=High | workpiece_slice_geometry=180x180,30013863,17,1,8,21
