feature,importance
cat__datetime_combined_7/9/2020 14:47,0.0002061973754611854
cat__datetime_combined_1/10/2020 19:33,0.00020573263126567675
cat__datetime_combined_5/27/2020 23:02,0.00020563556232816542
cat__datetime_combined_1/7/2020 10:41,0.00020534841659052006
cat__datetime_combined_7/23/2020 20:00,0.00020500957549934962
cat__datetime_combined_7/20/2020 8:43,0.0002049676534238926
cat__datetime_combined_7/24/2020 22:25,0.00020483502647092335
cat__datetime_combined_7/16/2020 10:32,0.00020432522110319938
cat__datetime_combined_7/24/2020 17:31,0.0002043021720003502
cat__datetime_combined_5/25/2020 23:17,0.00020427133527324567
cat__datetime_combined_5/28/2020 17:24,0.0002041402927979311
cat__datetime_combined_1/7/2020 15:43,0.00020412533237562606
cat__datetime_combined_5/24/2020 0:57,0.000203860662106918
cat__datetime_combined_3/5/2020 18:30,0.00020376289812739387
cat__datetime_combined_1/8/2020 11:41,0.00020364873905451053
cat__datetime_combined_7/16/2020 16:16,0.0002034138036497851
cat__datetime_combined_7/15/2020 11:41,0.00020328320374747442
cat__datetime_combined_5/9/2020 5:50,0.0002032173042771654
cat__datetime_combined_7/31/2020 23:07,0.0002030681336264617
cat__datetime_combined_6/5/2020 18:24,0.0002030463605969256
cat__datetime_combined_8/25/2020 5:04,0.00020304617561241395
cat__datetime_combined_3/9/2020 20:46,0.00020278774007851134
cat__datetime_combined_2/7/2020 1:32,0.00020206945333584088
cat__datetime_combined_5/25/2020 17:55,0.00020167313835117815
cat__datetime_combined_7/9/2020 19:40,0.00020142782546334493
cat__datetime_combined_4/8/2020 19:31,0.00020138662893125317
cat__datetime_combined_7/16/2020 6:59,0.00020118478272862798
cat__datetime_combined_7/9/2020 0:04,0.00020117700378644848
cat__datetime_combined_3/9/2020 21:31,0.00020113854915788576
cat__datetime_combined_6/8/2020 4:46,0.00020111991821908002
cat__datetime_combined_3/9/2020 22:07,0.00020096738060822224
cat__datetime_combined_7/15/2020 2:18,0.00020051443094380657
cat__datetime_combined_8/26/2020 23:38,0.00020050080706662303
cat__datetime_combined_4/9/2020 4:51,0.00020002666711970975
cat__datetime_combined_7/14/2020 20:58,0.00019991206487984144
cat__datetime_combined_8/26/2020 15:37,0.00019982311265338447
cat__datetime_combined_5/23/2020 20:15,0.0001995372300610107
cat__datetime_combined_7/7/2020 1:54,0.00019946875910382202
cat__datetime_combined_7/31/2020 16:09,0.00019926782349777614
cat__datetime_combined_7/18/2020 4:23,0.00019907550301384068
cat__datetime_combined_6/5/2020 17:37,0.00019900921189509418
cat__datetime_combined_5/22/2020 11:18,0.00019885970982352888
cat__datetime_combined_1/8/2020 7:49,0.00019877524741464337
cat__datetime_combined_7/22/2020 4:28,0.00019876553990460645
cat__datetime_combined_5/19/2020 10:44,0.00019868519684638887
cat__datetime_combined_7/26/2020 9:56,0.00019853917586282917
cat__datetime_combined_3/9/2020 0:03,0.00019839076667261063
cat__datetime_combined_5/9/2020 21:30,0.00019831501530669584
cat__datetime_combined_7/18/2020 7:26,0.00019806696854674893
cat__datetime_combined_7/17/2020 6:24,0.00019802654455746712
cat__datetime_combined_7/7/2020 16:13,0.00019792322086590052
cat__datetime_combined_7/22/2020 18:46,0.0001978334256292507
cat__datetime_combined_2/9/2020 20:51,0.0001978227051360152
cat__datetime_combined_7/7/2020 2:42,0.00019758843882288542
cat__datetime_combined_8/26/2020 21:38,0.00019757661128307378
cat__datetime_combined_7/17/2020 4:17,0.00019740284812131418
cat__datetime_combined_8/26/2020 16:17,0.00019713317805323627
cat__datetime_combined_1/8/2020 9:19,0.0001964783615753938
cat__datetime_combined_7/26/2020 16:03,0.000196292346267379
cat__datetime_combined_5/9/2020 16:56,0.00019599140297973494
cat__datetime_combined_5/26/2020 15:12,0.0001959562942426567
cat__datetime_combined_6/8/2020 19:19,0.00019585401708766182
cat__datetime_combined_5/9/2020 18:18,0.00019560044140998692
cat__datetime_combined_5/28/2020 0:03,0.0001954984759132886
cat__datetime_combined_5/18/2020 11:22,0.00019545610052689385
cat__datetime_combined_5/17/2020 5:04,0.00019524993537236635
cat__datetime_combined_5/31/2020 19:34,0.00019516932499441877
cat__datetime_combined_7/17/2020 0:38,0.00019504395603568795
cat__datetime_combined_7/24/2020 13:32,0.00019484600534013525
cat__datetime_combined_7/16/2020 18:50,0.00019477546961437902
cat__datetime_combined_5/22/2020 12:05,0.0001947480751980902
cat__datetime_combined_7/13/2020 21:13,0.0001947021149324846
cat__datetime_combined_7/18/2020 18:28,0.0001944954426042314
cat__datetime_combined_3/9/2020 19:35,0.00019442778722863333
cat__datetime_combined_7/18/2020 10:20,0.0001943853605638745
cat__datetime_combined_8/25/2020 8:25,0.00019418034603028476
cat__datetime_combined_7/20/2020 5:02,0.00019370634901157412
cat__datetime_combined_6/5/2020 13:06,0.00019356189925280812
cat__datetime_combined_7/8/2020 6:43,0.0001935312678519979
cat__datetime_combined_5/24/2020 1:28,0.00019338822742282204
cat__datetime_combined_5/27/2020 22:16,0.0001931747541112721
cat__datetime_combined_7/14/2020 19:37,0.00019316667176291264
cat__datetime_combined_6/5/2020 22:55,0.00019303680700212772
cat__datetime_combined_5/17/2020 1:32,0.00019297864240757614
cat__datetime_combined_4/8/2020 20:46,0.000192973431026142
cat__datetime_combined_5/7/2020 20:18,0.0001929563887728921
cat__datetime_combined_7/26/2020 14:38,0.0001927835446462995
cat__datetime_combined_5/26/2020 14:24,0.0001927822430687393
cat__datetime_combined_7/26/2020 7:13,0.00019277257899282373
cat__datetime_combined_2/8/2020 3:26,0.0001926633412305125
cat__datetime_combined_3/8/2020 13:09,0.00019266279061090017
cat__datetime_combined_3/8/2020 12:23,0.00019260545521051112
cat__datetime_combined_2/7/2020 7:03,0.00019235895630592565
cat__datetime_combined_5/29/2020 20:34,0.00019198373151607288
cat__datetime_combined_3/8/2020 0:50,0.00019196181165399026
cat__datetime_combined_5/31/2020 19:29,0.00019174535824951109
cat__datetime_combined_1/7/2020 21:10,0.00019173240837435756
cat__datetime_combined_6/8/2020 17:54,0.0001917154023548772
