kmeans_cluster,dbscan_cluster,calculated_RUL_tons,RUL_Class
2,0,66129,Healthy
0,0,66123,Healthy
0,0,66123,Healthy
0,0,66114,Healthy
0,0,66080,Healthy
2,0,66071,Low
2,0,66064,Healthy
0,0,66033,Healthy
0,0,66020,Healthy
0,0,65995,Healthy
2,0,65966,Healthy
0,0,65957,Healthy
0,0,65957,Healthy
2,0,65948,Healthy
0,0,65917,Healthy
2,0,65902,Low
2,0,65898,Healthy
0,0,65866,Healthy
2,0,65857,Healthy
0,0,65829,Healthy
0,0,65802,Healthy
2,0,65794,Healthy
2,0,65794,Healthy
0,0,65781,Healthy
0,0,65748,Healthy
0,0,65738,Healthy
2,0,65732,Low
0,0,65703,Healthy
0,0,65690,Healthy
0,0,65663,Healthy
2,0,65639,Healthy
0,0,65628,Healthy
0,0,65628,Healthy
0,0,65615,Healthy
0,0,65578,Healthy
2,0,65569,Low
0,0,65569,Healthy
2,0,65540,Healthy
0,0,65527,Healthy
0,0,65500,Healthy
2,0,65476,Healthy
2,0,65455,Healthy
2,0,65455,Healthy
0,0,65452,Healthy
0,0,65415,Healthy
2,0,65406,Low
2,0,65396,Healthy
0,0,65374,Healthy
0,0,65364,Healthy
0,0,65337,Healthy
2,0,65313,Healthy
2,0,65289,Healthy
2,0,65289,Healthy
2,0,65285,Healthy
0,0,65252,Healthy
0,0,65236,Low
2,0,65227,Healthy
0,0,65204,Healthy
0,0,65198,Healthy
0,0,65179,Healthy
2,0,65144,Healthy
0,0,65120,Healthy
0,0,65120,Healthy
0,0,65113,Healthy
0,0,65092,Healthy
0,0,65067,Low
2,0,65061,Healthy
0,0,65044,Healthy
0,0,65028,Healthy
0,0,65022,Healthy
2,0,64984,Healthy
2,0,64947,Healthy
2,0,64947,Healthy
0,0,64947,Healthy
0,0,64932,Healthy
2,0,64904,Low
2,0,64894,Healthy
2,0,64878,Healthy
0,0,64869,Healthy
0,0,64865,Healthy
0,0,64817,Healthy
0,0,64784,Healthy
0,0,64778,Healthy
0,0,64778,Healthy
0,0,64765,Healthy
2,0,64740,Low
2,0,64728,Healthy
0,0,64715,Medium
2,0,64715,Healthy
0,0,64702,Healthy
2,0,64651,Healthy
0,0,64620,Healthy
2,0,64609,Healthy
2,0,64609,Healthy
2,0,64602,Healthy
2,0,64583,Low
0,0,64559,Healthy
0,0,64554,Medium
2,0,64552,Healthy
0,0,64545,Healthy
0,0,64485,Healthy
0,0,64454,Healthy
0,0,64439,Healthy
0,0,64439,Healthy
0,0,64427,Healthy
2,0,64426,Low
0,0,64402,Healthy
0,0,64394,Medium
2,0,64389,Healthy
0,0,64376,Healthy
0,0,64315,Healthy
0,0,64294,Healthy
0,0,64276,Healthy
0,0,64276,Healthy
0,0,64261,Healthy
2,0,64259,Low
0,0,64232,Healthy
0,0,64228,Medium
2,0,64222,Healthy
0,0,64206,Healthy
2,0,64143,Healthy
0,0,64128,Healthy
0,0,64110,Healthy
0,0,64110,Healthy
0,0,64094,Healthy
2,0,64091,Low
0,0,64066,Healthy
0,0,64062,Medium
2,0,64050,Healthy
0,0,64034,Healthy
2,0,63985,Healthy
0,0,63962,Healthy
2,0,63938,Healthy
2,0,63938,Healthy
0,0,63934,Healthy
2,0,63919,Low
2,0,63898,Healthy
0,0,63897,Healthy
0,0,63896,Medium
2,0,63879,Healthy
2,0,63825,Healthy
0,0,63798,Healthy
2,0,63768,Healthy
2,0,63768,Healthy
0,0,63768,Healthy
2,0,63747,Low
0,0,63735,Healthy
0,0,63729,Medium
0,0,63727,Healthy
0,0,63722,Healthy
0,0,63661,Healthy
0,0,63632,Healthy
0,0,63605,Healthy
2,0,63599,Healthy
2,0,63599,Healthy
0,0,63589,Low
0,0,63564,Healthy
2,0,63563,Medium
0,0,63559,Healthy
0,0,63556,Healthy
0,0,63501,Healthy
0,0,63469,Healthy
0,0,63445,Healthy
0,0,63431,Low
2,0,63426,Healthy
2,0,63426,Healthy
2,0,63397,Medium
0,0,63393,Healthy
0,0,63392,Healthy
0,0,63392,Healthy
0,0,63338,Healthy
2,0,63306,Healthy
0,0,63281,Healthy
2,0,63265,Low
2,0,63254,Healthy
2,0,63254,Healthy
0,0,63243,Medium
0,0,63229,Healthy
0,0,63227,Healthy
0,0,63224,Healthy
0,0,63178,Healthy
0,0,63139,Healthy
2,0,63118,Healthy
2,0,63098,Low
0,0,63089,Medium
0,0,63085,Healthy
0,0,63085,Healthy
0,0,63066,Healthy
0,0,63061,Healthy
0,0,63060,Healthy
2,0,63018,Healthy
0,0,62970,Healthy
