support,itemsets
0.1668,"frozenset({'swing_frequency, amount/minute_BIN_High', 'num_stream_BIN_Low', 'crystallizer_movement, mm_BIN_Low'})"
0.1582,"frozenset({'swing_frequency, amount/minute_BIN_High', 'crystallizer_movement, mm_BIN_Low', 'num_stream_BIN_Medium'})"
0.7336,"frozenset({'swing_frequency, amount/minute_BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'water_consumption, liter/minute_BIN_High'})"
0.7332,"frozenset({'swing_frequency, amount/minute_BIN_High', 'water_temperature_delta, Celsius deg._BIN_High', 'alloy_speed, meter/minute_BIN_Medium'})"
0.7338,"frozenset({'swing_frequency, amount/minute_BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.7338,"frozenset({'swing_frequency, amount/minute_BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.2012,"frozenset({'swing_frequency, amount/minute_BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'num_crystallizer_BIN_High'})"
0.172,"frozenset({'swing_frequency, amount/minute_BIN_High', 'num_crystallizer_BIN_Low', 'alloy_speed, meter/minute_BIN_Medium'})"
0.3606,"frozenset({'swing_frequency, amount/minute_BIN_High', 'num_crystallizer_BIN_Medium', 'alloy_speed, meter/minute_BIN_Medium'})"
0.2532,"frozenset({'swing_frequency, amount/minute_BIN_High', 'num_stream_BIN_High', 'alloy_speed, meter/minute_BIN_Medium'})"
0.2446,"frozenset({'swing_frequency, amount/minute_BIN_High', 'num_stream_BIN_Low', 'alloy_speed, meter/minute_BIN_Medium'})"
0.236,"frozenset({'swing_frequency, amount/minute_BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'num_stream_BIN_Medium'})"
0.734,"frozenset({'swing_frequency, amount/minute_BIN_High', 'water_temperature_delta, Celsius deg._BIN_High', 'water_consumption, liter/minute_BIN_High'})"
0.7346,"frozenset({'swing_frequency, amount/minute_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low', 'water_consumption, liter/minute_BIN_High'})"
0.7346,"frozenset({'swing_frequency, amount/minute_BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low', 'water_consumption, liter/minute_BIN_High'})"
0.2012,"frozenset({'swing_frequency, amount/minute_BIN_High', 'num_crystallizer_BIN_High', 'water_consumption, liter/minute_BIN_High'})"
0.172,"frozenset({'swing_frequency, amount/minute_BIN_High', 'num_crystallizer_BIN_Low', 'water_consumption, liter/minute_BIN_High'})"
0.3614,"frozenset({'swing_frequency, amount/minute_BIN_High', 'num_crystallizer_BIN_Medium', 'water_consumption, liter/minute_BIN_High'})"
0.2534,"frozenset({'swing_frequency, amount/minute_BIN_High', 'num_stream_BIN_High', 'water_consumption, liter/minute_BIN_High'})"
0.2448,"frozenset({'swing_frequency, amount/minute_BIN_High', 'num_stream_BIN_Low', 'water_consumption, liter/minute_BIN_High'})"
0.2364,"frozenset({'swing_frequency, amount/minute_BIN_High', 'water_consumption, liter/minute_BIN_High', 'num_stream_BIN_Medium'})"
0.7342,"frozenset({'swing_frequency, amount/minute_BIN_High', 'water_temperature_delta, Celsius deg._BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.7342,"frozenset({'swing_frequency, amount/minute_BIN_High', 'water_temperature_delta, Celsius deg._BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.201,"frozenset({'swing_frequency, amount/minute_BIN_High', 'water_temperature_delta, Celsius deg._BIN_High', 'num_crystallizer_BIN_High'})"
0.172,"frozenset({'swing_frequency, amount/minute_BIN_High', 'water_temperature_delta, Celsius deg._BIN_High', 'num_crystallizer_BIN_Low'})"
0.3612,"frozenset({'swing_frequency, amount/minute_BIN_High', 'num_crystallizer_BIN_Medium', 'water_temperature_delta, Celsius deg._BIN_High'})"
0.2532,"frozenset({'swing_frequency, amount/minute_BIN_High', 'water_temperature_delta, Celsius deg._BIN_High', 'num_stream_BIN_High'})"
0.2446,"frozenset({'swing_frequency, amount/minute_BIN_High', 'water_temperature_delta, Celsius deg._BIN_High', 'num_stream_BIN_Low'})"
0.2364,"frozenset({'swing_frequency, amount/minute_BIN_High', 'water_temperature_delta, Celsius deg._BIN_High', 'num_stream_BIN_Medium'})"
0.7348,"frozenset({'swing_frequency, amount/minute_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.2014,"frozenset({'swing_frequency, amount/minute_BIN_High', 'num_crystallizer_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.172,"frozenset({'swing_frequency, amount/minute_BIN_High', 'num_crystallizer_BIN_Low', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.3614,"frozenset({'swing_frequency, amount/minute_BIN_High', 'num_crystallizer_BIN_Medium', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.2536,"frozenset({'swing_frequency, amount/minute_BIN_High', 'num_stream_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.2448,"frozenset({'swing_frequency, amount/minute_BIN_High', 'num_stream_BIN_Low', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.2364,"frozenset({'swing_frequency, amount/minute_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low', 'num_stream_BIN_Medium'})"
0.2014,"frozenset({'swing_frequency, amount/minute_BIN_High', 'num_crystallizer_BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.172,"frozenset({'swing_frequency, amount/minute_BIN_High', 'num_crystallizer_BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.3614,"frozenset({'swing_frequency, amount/minute_BIN_High', 'num_crystallizer_BIN_Medium', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.2536,"frozenset({'swing_frequency, amount/minute_BIN_High', 'num_stream_BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.2448,"frozenset({'swing_frequency, amount/minute_BIN_High', 'num_stream_BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.2364,"frozenset({'swing_frequency, amount/minute_BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low', 'num_stream_BIN_Medium'})"
0.1696,"frozenset({'water_consumption, liter/minute_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low', 'swing_frequency, amount/minute_BIN_Medium'})"
0.1696,"frozenset({'water_consumption, liter/minute_BIN_High', 'swing_frequency, amount/minute_BIN_Medium', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.1696,"frozenset({'swing_frequency, amount/minute_BIN_Medium', 'temperature_measurement1, Celsius deg._BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.2552,"frozenset({'water_consumption, liter/minute_BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'crystallizer_movement, mm_BIN_High'})"
0.253,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'crystallizer_movement, mm_BIN_High'})"
0.2554,"frozenset({'crystallizer_movement, mm_BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.2554,"frozenset({'alloy_speed, meter/minute_BIN_Medium', 'crystallizer_movement, mm_BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.3354,"frozenset({'water_consumption, liter/minute_BIN_High', 'water_temperature_delta, Celsius deg._BIN_High', 'crystallizer_movement, mm_BIN_High'})"
0.3378,"frozenset({'water_consumption, liter/minute_BIN_High', 'crystallizer_movement, mm_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.3378,"frozenset({'water_consumption, liter/minute_BIN_High', 'crystallizer_movement, mm_BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.1536,"frozenset({'water_consumption, liter/minute_BIN_High', 'num_crystallizer_BIN_Medium', 'crystallizer_movement, mm_BIN_High'})"
0.3356,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'crystallizer_movement, mm_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.3356,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'crystallizer_movement, mm_BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.1512,"frozenset({'num_crystallizer_BIN_Medium', 'water_temperature_delta, Celsius deg._BIN_High', 'crystallizer_movement, mm_BIN_High'})"
0.338,"frozenset({'crystallizer_movement, mm_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.1536,"frozenset({'num_crystallizer_BIN_Medium', 'crystallizer_movement, mm_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.1536,"frozenset({'num_crystallizer_BIN_Medium', 'crystallizer_movement, mm_BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.6238,"frozenset({'water_consumption, liter/minute_BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'crystallizer_movement, mm_BIN_Low'})"
0.609,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'crystallizer_movement, mm_BIN_Low'})"
0.6244,"frozenset({'alloy_speed, meter/minute_BIN_Medium', 'temperature_measurement1, Celsius deg._BIN_Low', 'crystallizer_movement, mm_BIN_Low'})"
0.6244,"frozenset({'alloy_speed, meter/minute_BIN_Medium', 'crystallizer_movement, mm_BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.1708,"frozenset({'alloy_speed, meter/minute_BIN_Medium', 'num_crystallizer_BIN_High', 'crystallizer_movement, mm_BIN_Low'})"
0.1582,"frozenset({'alloy_speed, meter/minute_BIN_Medium', 'num_crystallizer_BIN_Low', 'crystallizer_movement, mm_BIN_Low'})"
0.2954,"frozenset({'num_crystallizer_BIN_Medium', 'alloy_speed, meter/minute_BIN_Medium', 'crystallizer_movement, mm_BIN_Low'})"
0.2128,"frozenset({'num_stream_BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'crystallizer_movement, mm_BIN_Low'})"
0.2084,"frozenset({'num_stream_BIN_Low', 'alloy_speed, meter/minute_BIN_Medium', 'crystallizer_movement, mm_BIN_Low'})"
0.2032,"frozenset({'alloy_speed, meter/minute_BIN_Medium', 'crystallizer_movement, mm_BIN_Low', 'num_stream_BIN_Medium'})"
0.6136,"frozenset({'water_consumption, liter/minute_BIN_High', 'water_temperature_delta, Celsius deg._BIN_High', 'crystallizer_movement, mm_BIN_Low'})"
0.6328,"frozenset({'water_consumption, liter/minute_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low', 'crystallizer_movement, mm_BIN_Low'})"
0.6328,"frozenset({'water_consumption, liter/minute_BIN_High', 'crystallizer_movement, mm_BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.1724,"frozenset({'water_consumption, liter/minute_BIN_High', 'num_crystallizer_BIN_High', 'crystallizer_movement, mm_BIN_Low'})"
0.1608,"frozenset({'water_consumption, liter/minute_BIN_High', 'num_crystallizer_BIN_Low', 'crystallizer_movement, mm_BIN_Low'})"
0.2996,"frozenset({'water_consumption, liter/minute_BIN_High', 'num_crystallizer_BIN_Medium', 'crystallizer_movement, mm_BIN_Low'})"
0.2154,"frozenset({'water_consumption, liter/minute_BIN_High', 'num_stream_BIN_High', 'crystallizer_movement, mm_BIN_Low'})"
0.21,"frozenset({'water_consumption, liter/minute_BIN_High', 'num_stream_BIN_Low', 'crystallizer_movement, mm_BIN_Low'})"
0.2074,"frozenset({'water_consumption, liter/minute_BIN_High', 'crystallizer_movement, mm_BIN_Low', 'num_stream_BIN_Medium'})"
0.6136,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low', 'crystallizer_movement, mm_BIN_Low'})"
0.6136,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'crystallizer_movement, mm_BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.167,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'num_crystallizer_BIN_High', 'crystallizer_movement, mm_BIN_Low'})"
0.1552,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'num_crystallizer_BIN_Low', 'crystallizer_movement, mm_BIN_Low'})"
0.2914,"frozenset({'num_crystallizer_BIN_Medium', 'water_temperature_delta, Celsius deg._BIN_High', 'crystallizer_movement, mm_BIN_Low'})"
0.2074,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'num_stream_BIN_High', 'crystallizer_movement, mm_BIN_Low'})"
0.2054,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'num_stream_BIN_Low', 'crystallizer_movement, mm_BIN_Low'})"
0.2008,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'crystallizer_movement, mm_BIN_Low', 'num_stream_BIN_Medium'})"
0.6334,"frozenset({'temperature_measurement1, Celsius deg._BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low', 'crystallizer_movement, mm_BIN_Low'})"
0.1728,"frozenset({'num_crystallizer_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low', 'crystallizer_movement, mm_BIN_Low'})"
0.1608,"frozenset({'num_crystallizer_BIN_Low', 'temperature_measurement1, Celsius deg._BIN_Low', 'crystallizer_movement, mm_BIN_Low'})"
0.2998,"frozenset({'num_crystallizer_BIN_Medium', 'temperature_measurement1, Celsius deg._BIN_Low', 'crystallizer_movement, mm_BIN_Low'})"
0.2158,"frozenset({'num_stream_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low', 'crystallizer_movement, mm_BIN_Low'})"
0.2102,"frozenset({'num_stream_BIN_Low', 'temperature_measurement1, Celsius deg._BIN_Low', 'crystallizer_movement, mm_BIN_Low'})"
0.2074,"frozenset({'temperature_measurement1, Celsius deg._BIN_Low', 'crystallizer_movement, mm_BIN_Low', 'num_stream_BIN_Medium'})"
0.1728,"frozenset({'num_crystallizer_BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low', 'crystallizer_movement, mm_BIN_Low'})"
0.1608,"frozenset({'num_crystallizer_BIN_Low', 'crystallizer_movement, mm_BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.2998,"frozenset({'num_crystallizer_BIN_Medium', 'crystallizer_movement, mm_BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.2158,"frozenset({'num_stream_BIN_High', 'crystallizer_movement, mm_BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.2102,"frozenset({'num_stream_BIN_Low', 'crystallizer_movement, mm_BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.2074,"frozenset({'crystallizer_movement, mm_BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low', 'num_stream_BIN_Medium'})"
0.8644,"frozenset({'water_consumption, liter/minute_BIN_High', 'water_temperature_delta, Celsius deg._BIN_High', 'alloy_speed, meter/minute_BIN_Medium'})"
0.882,"frozenset({'water_consumption, liter/minute_BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.882,"frozenset({'water_consumption, liter/minute_BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.2344,"frozenset({'water_consumption, liter/minute_BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'num_crystallizer_BIN_High'})"
0.216,"frozenset({'water_consumption, liter/minute_BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'num_crystallizer_BIN_Low'})"
0.4316,"frozenset({'water_consumption, liter/minute_BIN_High', 'num_crystallizer_BIN_Medium', 'alloy_speed, meter/minute_BIN_Medium'})"
0.3004,"frozenset({'water_consumption, liter/minute_BIN_High', 'num_stream_BIN_High', 'alloy_speed, meter/minute_BIN_Medium'})"
0.2928,"frozenset({'water_consumption, liter/minute_BIN_High', 'num_stream_BIN_Low', 'alloy_speed, meter/minute_BIN_Medium'})"
0.2888,"frozenset({'water_consumption, liter/minute_BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'num_stream_BIN_Medium'})"
0.8646,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.8646,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.2298,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'num_crystallizer_BIN_High'})"
0.2116,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'num_crystallizer_BIN_Low'})"
0.4232,"frozenset({'num_crystallizer_BIN_Medium', 'alloy_speed, meter/minute_BIN_Medium', 'water_temperature_delta, Celsius deg._BIN_High'})"
0.2936,"frozenset({'num_stream_BIN_High', 'water_temperature_delta, Celsius deg._BIN_High', 'alloy_speed, meter/minute_BIN_Medium'})"
0.288,"frozenset({'num_stream_BIN_Low', 'water_temperature_delta, Celsius deg._BIN_High', 'alloy_speed, meter/minute_BIN_Medium'})"
0.283,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'num_stream_BIN_Medium'})"
0.8828,"frozenset({'alloy_speed, meter/minute_BIN_Medium', 'temperature_measurement1, Celsius deg._BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.235,"frozenset({'num_crystallizer_BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.216,"frozenset({'alloy_speed, meter/minute_BIN_Medium', 'temperature_measurement1, Celsius deg._BIN_Low', 'num_crystallizer_BIN_Low'})"
0.4318,"frozenset({'num_crystallizer_BIN_Medium', 'alloy_speed, meter/minute_BIN_Medium', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.301,"frozenset({'num_stream_BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.293,"frozenset({'num_stream_BIN_Low', 'alloy_speed, meter/minute_BIN_Medium', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.2888,"frozenset({'alloy_speed, meter/minute_BIN_Medium', 'temperature_measurement1, Celsius deg._BIN_Low', 'num_stream_BIN_Medium'})"
0.235,"frozenset({'alloy_speed, meter/minute_BIN_Medium', 'num_crystallizer_BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.216,"frozenset({'alloy_speed, meter/minute_BIN_Medium', 'num_crystallizer_BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.4318,"frozenset({'num_crystallizer_BIN_Medium', 'alloy_speed, meter/minute_BIN_Medium', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.301,"frozenset({'num_stream_BIN_High', 'alloy_speed, meter/minute_BIN_Medium', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.293,"frozenset({'num_stream_BIN_Low', 'alloy_speed, meter/minute_BIN_Medium', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.2888,"frozenset({'alloy_speed, meter/minute_BIN_Medium', 'temperature_measurement2, Celsius deg._BIN_Low', 'num_stream_BIN_Medium'})"
0.181,"frozenset({'num_crystallizer_BIN_Medium', 'alloy_speed, meter/minute_BIN_Medium', 'num_stream_BIN_Medium'})"
0.9756,"frozenset({'water_consumption, liter/minute_BIN_High', 'water_temperature_delta, Celsius deg._BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.9756,"frozenset({'water_consumption, liter/minute_BIN_High', 'water_temperature_delta, Celsius deg._BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.266,"frozenset({'water_consumption, liter/minute_BIN_High', 'water_temperature_delta, Celsius deg._BIN_High', 'num_crystallizer_BIN_High'})"
0.2588,"frozenset({'water_consumption, liter/minute_BIN_High', 'water_temperature_delta, Celsius deg._BIN_High', 'num_crystallizer_BIN_Low'})"
0.4508,"frozenset({'water_consumption, liter/minute_BIN_High', 'num_crystallizer_BIN_Medium', 'water_temperature_delta, Celsius deg._BIN_High'})"
0.3276,"frozenset({'water_consumption, liter/minute_BIN_High', 'water_temperature_delta, Celsius deg._BIN_High', 'num_stream_BIN_High'})"
0.3214,"frozenset({'water_consumption, liter/minute_BIN_High', 'water_temperature_delta, Celsius deg._BIN_High', 'num_stream_BIN_Low'})"
0.3266,"frozenset({'water_consumption, liter/minute_BIN_High', 'water_temperature_delta, Celsius deg._BIN_High', 'num_stream_BIN_Medium'})"
0.9992,"frozenset({'water_consumption, liter/minute_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.2716,"frozenset({'water_consumption, liter/minute_BIN_High', 'num_crystallizer_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.2656,"frozenset({'water_consumption, liter/minute_BIN_High', 'num_crystallizer_BIN_Low', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.462,"frozenset({'water_consumption, liter/minute_BIN_High', 'num_crystallizer_BIN_Medium', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.3362,"frozenset({'water_consumption, liter/minute_BIN_High', 'num_stream_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.3284,"frozenset({'water_consumption, liter/minute_BIN_High', 'num_stream_BIN_Low', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.3346,"frozenset({'water_consumption, liter/minute_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low', 'num_stream_BIN_Medium'})"
0.2716,"frozenset({'water_consumption, liter/minute_BIN_High', 'num_crystallizer_BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.2656,"frozenset({'water_consumption, liter/minute_BIN_High', 'num_crystallizer_BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.462,"frozenset({'water_consumption, liter/minute_BIN_High', 'num_crystallizer_BIN_Medium', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.3362,"frozenset({'water_consumption, liter/minute_BIN_High', 'num_stream_BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.3284,"frozenset({'water_consumption, liter/minute_BIN_High', 'num_stream_BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.3346,"frozenset({'water_consumption, liter/minute_BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low', 'num_stream_BIN_Medium'})"
0.1988,"frozenset({'water_consumption, liter/minute_BIN_High', 'num_crystallizer_BIN_Medium', 'num_stream_BIN_Medium'})"
0.9758,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.2662,"frozenset({'num_crystallizer_BIN_High', 'water_temperature_delta, Celsius deg._BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.2588,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'num_crystallizer_BIN_Low', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.4508,"frozenset({'num_crystallizer_BIN_Medium', 'water_temperature_delta, Celsius deg._BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.3278,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'num_stream_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.3214,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'num_stream_BIN_Low', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.3266,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low', 'num_stream_BIN_Medium'})"
0.2662,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'num_crystallizer_BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.2588,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'num_crystallizer_BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.4508,"frozenset({'num_crystallizer_BIN_Medium', 'water_temperature_delta, Celsius deg._BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.3278,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'num_stream_BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.3214,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'num_stream_BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.3266,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low', 'num_stream_BIN_Medium'})"
0.1932,"frozenset({'num_crystallizer_BIN_Medium', 'water_temperature_delta, Celsius deg._BIN_High', 'num_stream_BIN_Medium'})"
0.2722,"frozenset({'num_crystallizer_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.2656,"frozenset({'num_crystallizer_BIN_Low', 'temperature_measurement1, Celsius deg._BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.4622,"frozenset({'num_crystallizer_BIN_Medium', 'temperature_measurement1, Celsius deg._BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.3368,"frozenset({'num_stream_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.3286,"frozenset({'num_stream_BIN_Low', 'temperature_measurement1, Celsius deg._BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.3346,"frozenset({'temperature_measurement1, Celsius deg._BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low', 'num_stream_BIN_Medium'})"
0.1988,"frozenset({'num_crystallizer_BIN_Medium', 'temperature_measurement1, Celsius deg._BIN_Low', 'num_stream_BIN_Medium'})"
0.1988,"frozenset({'num_crystallizer_BIN_Medium', 'temperature_measurement2, Celsius deg._BIN_Low', 'num_stream_BIN_Medium'})"
