support,itemsets
0.3882,"frozenset({'swing_frequency, amount/minute_BIN_High', 'cast_in_row_BIN_Low', 'steel_temperature_grab1, Celsius deg._BIN_High'})"
0.1592,"frozenset({'cast_in_row_BIN_Low', 'crystallizer_movement, mm_BIN_High', 'steel_temperature_grab1, Celsius deg._BIN_High'})"
0.3792,"frozenset({'cast_in_row_BIN_Low', 'crystallizer_movement, mm_BIN_Low', 'steel_temperature_grab1, Celsius deg._BIN_High'})"
0.4912,"frozenset({'cast_in_row_BIN_Low', 'alloy_speed, meter/minute_BIN_Medium', 'steel_temperature_grab1, Celsius deg._BIN_High'})"
0.5516,"frozenset({'water_consumption, liter/minute_BIN_High', 'cast_in_row_BIN_Low', 'steel_temperature_grab1, Celsius deg._BIN_High'})"
0.533,"frozenset({'cast_in_row_BIN_Low', 'water_temperature_delta, Celsius deg._BIN_High', 'steel_temperature_grab1, Celsius deg._BIN_High'})"
0.5516,"frozenset({'cast_in_row_BIN_Low', 'temperature_measurement1, Celsius deg._BIN_Low', 'steel_temperature_grab1, Celsius deg._BIN_High'})"
0.5516,"frozenset({'temperature_measurement2, Celsius deg._BIN_Low', 'cast_in_row_BIN_Low', 'steel_temperature_grab1, Celsius deg._BIN_High'})"
0.1512,"frozenset({'cast_in_row_BIN_Low', 'num_crystallizer_BIN_Low', 'steel_temperature_grab1, Celsius deg._BIN_High'})"
0.2548,"frozenset({'cast_in_row_BIN_Low', 'num_crystallizer_BIN_Medium', 'steel_temperature_grab1, Celsius deg._BIN_High'})"
0.19,"frozenset({'cast_in_row_BIN_Low', 'num_stream_BIN_High', 'steel_temperature_grab1, Celsius deg._BIN_High'})"
0.1876,"frozenset({'cast_in_row_BIN_Low', 'num_stream_BIN_Low', 'steel_temperature_grab1, Celsius deg._BIN_High'})"
0.174,"frozenset({'cast_in_row_BIN_Low', 'steel_temperature_grab1, Celsius deg._BIN_High', 'num_stream_BIN_Medium'})"
0.3882,"frozenset({'resistance, tonn_BIN_Low', 'cast_in_row_BIN_Low', 'swing_frequency, amount/minute_BIN_High'})"
0.1592,"frozenset({'resistance, tonn_BIN_Low', 'cast_in_row_BIN_Low', 'crystallizer_movement, mm_BIN_High'})"
0.3792,"frozenset({'resistance, tonn_BIN_Low', 'cast_in_row_BIN_Low', 'crystallizer_movement, mm_BIN_Low'})"
0.4912,"frozenset({'resistance, tonn_BIN_Low', 'cast_in_row_BIN_Low', 'alloy_speed, meter/minute_BIN_Medium'})"
0.5516,"frozenset({'resistance, tonn_BIN_Low', 'cast_in_row_BIN_Low', 'water_consumption, liter/minute_BIN_High'})"
0.533,"frozenset({'resistance, tonn_BIN_Low', 'cast_in_row_BIN_Low', 'water_temperature_delta, Celsius deg._BIN_High'})"
0.5516,"frozenset({'resistance, tonn_BIN_Low', 'cast_in_row_BIN_Low', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.5516,"frozenset({'resistance, tonn_BIN_Low', 'cast_in_row_BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.1512,"frozenset({'resistance, tonn_BIN_Low', 'cast_in_row_BIN_Low', 'num_crystallizer_BIN_Low'})"
0.2548,"frozenset({'resistance, tonn_BIN_Low', 'cast_in_row_BIN_Low', 'num_crystallizer_BIN_Medium'})"
0.19,"frozenset({'resistance, tonn_BIN_Low', 'cast_in_row_BIN_Low', 'num_stream_BIN_High'})"
0.1876,"frozenset({'resistance, tonn_BIN_Low', 'cast_in_row_BIN_Low', 'num_stream_BIN_Low'})"
0.174,"frozenset({'resistance, tonn_BIN_Low', 'cast_in_row_BIN_Low', 'num_stream_BIN_Medium'})"
0.286,"frozenset({'swing_frequency, amount/minute_BIN_High', 'cast_in_row_BIN_Low', 'crystallizer_movement, mm_BIN_Low'})"
