PC1,PC2,calculated_RUL_tons,RUL_Class
-3.2030850898247616,0.9346512336669576,74557,Healthy
-0.7258141915165552,1.5353795708461047,74483,Medium
-0.32169562701823184,2.651930489933219,74454,Healthy
1.1903552555704344,-0.5197880916418842,74444,Healthy
-3.3879634463804122,2.762430784298883,74439,Healthy
-3.282984967739024,-3.066652790974066,74433,Healthy
-4.5316442413781,-0.9437056161248408,74389,Healthy
-4.507816045168856,-0.9217404433025661,74389,Healthy
-0.49388834689128996,0.4653115655956106,74313,Medium
0.35994771892284566,1.3907082632843386,74293,Healthy
-3.2007437827407874,0.9368094840975782,74283,Healthy
1.0777698185286344,-0.18777175172429092,74281,Healthy
-3.2987021158704137,-2.7626086170160193,74272,Healthy
0.780955235039563,0.6842046336424095,74229,Healthy
0.8192131890925922,0.7194713640831907,74229,Healthy
-0.34789705694587625,0.5998884293262307,74144,Medium
0.15760174357027953,1.8895877901349747,74135,Healthy
1.0145891076779574,-0.08601230034563033,74118,Healthy
-4.505524553129221,-0.9196281130938734,74115,Healthy
-3.0476249371451405,-3.173357347352857,74110,Healthy
0.5618317797038334,1.0364140296304991,74065,Healthy
0.5730235596655269,1.046730772823679,74065,Healthy
0.7004587979419666,1.8727046940548946,73995,Healthy
-0.4656451634046008,0.7130897777534305,73981,Medium
-3.4748994491667933,-2.2747460441634266,73953,Healthy
1.1537191211826574,-0.4832241389060679,73951,Healthy
2.287448603939702,-2.5731568267150253,73943,Healthy
0.32195473437850786,1.4549496598895983,73902,Healthy
0.3107297443872544,1.444602303215133,73902,Healthy
1.5185689387450318,-0.10276872056154732,73843,Healthy
-0.31965387345918705,0.8476666414840505,73817,Medium
-3.4857319616883067,-2.620385980736226,73787,Healthy
0.9423088799699146,-0.28019207728453155,73782,Healthy
-0.6499276107969991,1.3989311096097468,73777,Healthy
0.7195388624616804,0.9466998544713394,73742,Healthy
0.7082142423817473,0.9362606573530179,73742,Healthy
0.7759179812703686,0.838377883624012,73685,Healthy
-0.8446554356529281,1.4917803917228885,73657,Medium
-3.799284038153788,-2.2238896758610616,73623,Healthy
1.2943277945837484,-0.5677835535085498,73619,Healthy
0.665819023749331,-0.8510079062763576,73610,Healthy
0.16894531578908956,1.846967901436712,73582,Healthy
0.1803197509133626,1.8574530187769616,73582,Healthy
0.15714020983059407,1.3596396088087859,73517,Healthy
-0.6986641457075142,1.6263572554535084,73497,Medium
-4.661711230646217,-0.8837930568206408,73457,Healthy
1.629586812879057,-1.1320406830129262,73456,Healthy
0.9165646471593811,-1.2075780146129997,73444,Healthy
0.7788478209396983,0.8124988000378804,73422,Healthy
0.7903218861526511,0.8230757578219864,73422,Healthy
0.7182330637303376,0.7140692728628768,73355,Healthy
-1.0654080583358398,1.4011276243216069,73328,Medium
1.3203689803112904,-0.3143160004778824,73299,Healthy
-4.969788576796186,-0.17640457360455672,73295,Healthy
0.36279531418203875,-0.15267947453910544,73280,Healthy
0.1297154508145256,1.7308852982334515,73259,Healthy
0.14125593608659823,1.741523482980128,73259,Healthy
0.8131052651601378,0.9542000816870687,73201,Healthy
-0.9194665834347657,1.5356585678302987,73158,Medium
-4.48678681385939,-0.5232559549376549,73142,Healthy
1.5474109979211474,-1.3012881575230617,73129,Healthy
0.10353541358509297,0.11617118800542205,73114,Healthy
0.9163833469990217,0.5772106352077148,73099,Healthy
0.9280068573449941,0.5879253536576049,73099,Healthy
0.4540510757653399,-0.9313314488180766,73028,Healthy
-0.8418592455644519,1.3254272250497081,72995,Medium
-4.86731709043839,-0.5359329535591115,72976,Healthy
1.0086074296075804,-1.5495939162336485,72960,Healthy
