anomaly_label,anomaly_score,is_anomaly,calculated_RUL_tons,RUL_Class
-1,-0.0037594823241929864,1,74115,Healthy
-1,-0.0078108584491768385,1,74110,Healthy
1,0.18537894580086578,0,74065,Healthy
1,0.1817016030110682,0,74065,Healthy
1,0.10881079657075132,0,73995,Healthy
1,0.13077798857822587,0,73981,Medium
1,0.004289890922074546,0,73953,Healthy
1,0.17065805658547162,0,73951,Healthy
1,0.0724219466781062,0,73943,Healthy
1,0.17270918673281616,0,73902,Healthy
1,0.17739310794285812,0,73902,Healthy
1,0.11940973489273826,0,73843,Healthy
1,0.1381004401145814,0,73817,Medium
1,0.012344675634218594,0,73787,Healthy
1,0.17172491082748542,0,73782,Healthy
1,0.0867707770264115,0,73777,Healthy
1,0.1759857538170212,0,73742,Healthy
1,0.18069132583889125,0,73742,Healthy
1,0.15113757200523759,0,73685,Healthy
1,0.12059213315394529,0,73657,Medium
-1,-0.049388669046338984,1,73623,Healthy
1,0.1713681854575927,0,73619,Healthy
1,0.15302991661837373,0,73610,Healthy
1,0.14845636048979094,0,73582,Healthy
1,0.14213804784974432,0,73582,Healthy
1,0.15309371025899698,0,73517,Healthy
1,0.12472203716658314,0,73497,Medium
-1,-0.013152591936581914,1,73457,Healthy
1,0.14056512709337343,0,73456,Healthy
1,0.13994400799190249,0,73444,Healthy
1,0.17698201596455354,0,73422,Healthy
1,0.172434080739931,0,73422,Healthy
1,0.18261193667297326,0,73355,Healthy
1,0.10532215837518516,0,73328,Medium
1,0.1545372974920064,0,73299,Healthy
-1,-0.0270322980547959,1,73295,Healthy
1,0.14628967652844022,0,73280,Healthy
1,0.16439646447482403,0,73259,Healthy
1,0.15841437436597394,0,73259,Healthy
1,0.15970744603423465,0,73201,Healthy
1,0.11130323134031211,0,73158,Medium
-1,-0.04684842304758774,1,73142,Healthy
1,0.14181759302985764,0,73129,Healthy
1,0.1480903311658106,0,73114,Healthy
1,0.1841128021250365,0,73099,Healthy
1,0.17912833478686074,0,73099,Healthy
1,0.09616147919876411,0,73028,Healthy
1,0.12479696824279068,0,72995,Medium
-1,-0.03499977580552227,1,72976,Healthy
1,0.12102923386990805,0,72960,Healthy
1,0.11191768464652868,0,72942,Healthy
1,0.16697091486550958,0,72936,Healthy
1,0.17208543309037672,0,72936,Healthy
1,0.1524516195810814,0,72859,Healthy
1,0.13055870134282416,0,72832,Medium
-1,-0.028541456301864332,1,72804,Healthy
1,0.10042470254705771,0,72788,Healthy
1,0.1365119401863587,0,72775,Healthy
1,0.15136083665730338,0,72772,Healthy
1,0.15532885389655804,0,72772,Healthy
1,0.1450811798644805,0,72693,Healthy
1,0.11174775342615934,0,72676,Medium
1,0.12271003431380179,0,72635,Healthy
1,0.030658068488431334,0,72633,Healthy
1,0.16521469599118777,0,72615,Healthy
1,0.15502368832676877,0,72615,Healthy
1,0.14360191997410005,0,72612,Healthy
1,0.14447495596513876,0,72536,Healthy
1,0.1214323798246526,0,72520,Medium
1,0.11170318527154255,0,72476,Healthy
1,0.05958290025188118,0,72471,Healthy
1,0.15900858001925172,0,72449,Healthy
1,0.15423432964624556,0,72443,Healthy
1,0.15833121617742524,0,72443,Healthy
1,0.14962048746313095,0,72379,Healthy
1,0.1310336513574244,0,72356,Medium
1,0.02870766275919745,0,72317,Healthy
1,0.03102053983871167,0,72317,Healthy
1,0.06348027629186315,0,72309,Healthy
1,0.07455722185522545,0,72302,Healthy
1,0.10555526860268033,0,72283,Healthy
1,0.14971857105131997,0,72213,Healthy
1,0.10433131162649906,0,72184,Medium
1,0.07629036328165845,0,72158,Healthy
1,0.07908195826103737,0,72158,Healthy
1,0.03538210825952348,0,72146,Healthy
1,0.07935822504717543,0,72135,Healthy
1,0.10026004470310679,0,72123,Healthy
1,0.13700051144989822,0,72046,Healthy
1,0.10948079997211008,0,72011,Medium
1,0.15135176244866777,0,71997,Healthy
1,0.15507199973230545,0,71997,Healthy
1,0.08816154593642411,0,71980,Healthy
1,0.053263991070894745,0,71963,Healthy
1,0.10315433833148607,0,71956,Healthy
1,0.11886877793046868,0,71886,Healthy
1,0.09581644626858454,0,71848,Medium
1,0.11396235423135825,0,71839,Healthy
1,0.11783936096543529,0,71839,Healthy
1,0.15124375069900275,0,71814,Healthy
1,0.09332431682161896,0,71791,Healthy
1,0.0936771782952735,0,71790,Healthy
1,0.1259877711484489,0,71714,Healthy
1,0.10504061738221154,0,71699,Healthy
1,0.10799905703073764,0,71699,Healthy
1,0.10030822660911165,0,71685,Medium
1,0.15124375069900275,0,71648,Healthy
1,0.08879321052920064,0,71627,Healthy
1,0.07369993114305778,0,71621,Healthy
1,0.11408917127111057,0,71547,Healthy
1,0.11881564433710395,0,71547,Healthy
1,0.1438718412126232,0,71541,Healthy
1,0.09872650819156864,0,71515,Medium
1,0.151971628095332,0,71485,Healthy
1,0.01604476056370574,0,71472,Healthy
1,0.10180187846922467,0,71461,Healthy
1,0.053063893576905774,0,71449,Healthy
1,0.1466946077459223,0,71389,Healthy
1,0.15151301700382797,0,71389,Healthy
1,0.11236897168195137,0,71378,Healthy
1,0.10480719356942597,0,71346,Medium
1,0.151971628095332,0,71322,Healthy
1,0.03038150225856684,0,71304,Healthy
1,0.1000173543171774,0,71298,Healthy
1,0.05156409402599149,0,71283,Healthy
1,0.1506589025771537,0,71221,Healthy
1,0.15356022070573438,0,71221,Healthy
1,0.08983501611852174,0,71209,Healthy
1,0.06606863523425283,0,71205,Healthy
1,0.12972876273932288,0,71180,Medium
1,0.1492599081462967,0,71155,Healthy
1,0.09811920903574767,0,71134,Healthy
1,0.029292628523274633,0,71134,Healthy
1,0.04474424158711077,0,71113,Healthy
1,0.17797782854862826,0,71059,Healthy
1,0.18247926645093437,0,71059,Healthy
1,0.10623714748518248,0,71040,Healthy
1,0.0733274705530157,0,71038,Healthy
1,0.13791138108284445,0,71013,Medium
1,0.1492599081462967,0,70989,Healthy
-1,-0.004156834808945908,1,70970,Healthy
1,0.10237588554771915,0,70968,Healthy
1,0.056110714347448465,0,70947,Healthy
1,0.1554875966678666,0,70905,Healthy
1,0.15923281450160603,0,70905,Healthy
1,0.11782594233637578,0,70873,Healthy
1,0.13952554061815148,0,70872,Healthy
1,0.11002187352037923,0,70853,Medium
1,0.15951089378869637,0,70826,Healthy
-1,-0.006668687243265969,1,70806,Healthy
1,0.09069099964771138,0,70799,Healthy
1,0.05424477394923277,0,70784,Healthy
1,0.15362850951346163,0,70739,Healthy
1,0.15401323380386073,0,70739,Healthy
1,0.11477433609666082,0,70710,Healthy
1,0.12703838136797335,0,70705,Healthy
1,0.11594139812575899,0,70693,Medium
1,0.15951089378869637,0,70663,Healthy
1,0.09406177588162751,0,70639,Healthy
1,0.016597918788483712,0,70635,Healthy
1,0.060238055604768026,0,70618,Healthy
1,0.15500497300413874,0,70575,Healthy
